[2026-08-22 11:41:19,334] INFO [classification:30] Loading full Shopify taxonomy into cache (14,606 categories)...
[2026-08-22 11:41:19,576] INFO [classification:50] Phase 9 verification log entry test.
[2026-08-22 15:06:54,605] INFO [classification:39] Starting batch #2 ('None') with 18981 items.
[2026-08-22 15:06:55,899] INFO [classification:51] Processing Product #1: 'Empress Bonded Leather Sofa by Modway'
[2026-08-22 15:07:16,483] INFO [classification:30] Loading full Shopify taxonomy into cache (14,606 categories)...
[2026-08-22 15:07:16,660] INFO [classification:166] Successfully classified product #1 -> 'Furniture > Sofas' (Confidence: 0.99)
[2026-08-22 15:07:16,684] INFO [classification:51] Processing Product #3: 'Empress Upholstered Fabric Armchair by Modway'
[2026-08-22 15:07:43,232] INFO [classification:166] Successfully classified product #3 -> 'Furniture > Chairs > Armchairs, Recliners & Sleeper Chairs' (Confidence: 0.99)
[2026-08-22 15:07:43,264] INFO [classification:51] Processing Product #7: 'Lava Pencil Holder by Modway'
[2026-08-22 15:08:11,009] INFO [classification:166] Successfully classified product #7 -> 'Animals & Pet Supplies > Pet Supplies > Pet Waste Bag Dispensers & Holders' (Confidence: 0.95)
[2026-08-22 15:08:11,045] INFO [classification:51] Processing Product #8: 'Lava Pencil Holder by Modway'
[2026-08-22 15:08:40,029] INFO [classification:166] Successfully classified product #8 -> 'Animals & Pet Supplies > Pet Supplies > Pet Waste Bag Dispensers & Holders' (Confidence: 0.95)
[2026-08-22 15:08:40,057] INFO [classification:51] Processing Product #9: 'Lava Pencil Holder by Modway'
[2026-08-22 15:09:03,867] INFO [classification:166] Successfully classified product #9 -> 'Animals & Pet Supplies > Pet Supplies > Pet Waste Bag Dispensers & Holders' (Confidence: 0.95)
[2026-08-22 15:09:03,898] INFO [classification:51] Processing Product #10: 'Garner Bar Stool by Modway'
[2026-08-22 15:09:26,642] INFO [classification:166] Successfully classified product #10 -> 'Furniture > Chairs > Table & Bar Stools > Bar Stools' (Confidence: 0.99)
[2026-08-22 15:09:26,683] INFO [classification:51] Processing Product #11: 'Dive Bar Stool by Modway'
[2026-08-22 15:09:47,426] INFO [classification:166] Successfully classified product #11 -> 'Furniture > Chairs > Table & Bar Stools > Bar Stools' (Confidence: 0.99)
[2026-08-22 15:09:47,460] INFO [classification:51] Processing Product #12: 'Persist Bar Stool by Modway'
[2026-08-22 15:10:10,398] INFO [classification:166] Successfully classified product #12 -> 'Furniture > Chairs > Table & Bar Stools > Bar Stools' (Confidence: 0.99)
